"Geographic Area Name (NAME)","Vintage Month Description (MONTH_DESC)","Vintage Year (YEAR)","Age Group (AGE_DESC)","Universe Description (UNIVERSE_DESC)","Sex (SEX_DESC)","Population Estimate (POP)"
"New York","July","2023","Age 10-14","Resident Population","Male","575,054"
"New York","July","2023","Age 10-14","Resident Population","Female","545,440"
"New York","July","2023","Age 14-17","Resident Population","Male","475,368"
"New York","July","2023","Age 14-17","Resident Population","Female","451,311"
"New York","July","2023","Age 15-19","Resident Population","Male","610,445"
"New York","July","2023","Age 15-19","Resident Population","Female","587,856"
"New York","July","2023","Age 15-44","Resident Population","Male","3,863,315"
"New York","July","2023","Age 15-44","Resident Population","Female","3,860,526"
"New York","July","2023","Age 16 and older","Resident Population","Male","7,767,660"
"New York","July","2023","Age 16 and older","Resident Population","Female","8,310,470"
"New York","July","2023","Age 18-24","Resident Population","Male","871,271"
"New York","July","2023","Age 18-24","Resident Population","Female","870,064"
"New York","July","2023","Age 18 and older","Resident Population","Male","7,528,513"
"New York","July","2023","Age 18 and older","Resident Population","Female","8,082,795"
"New York","July","2023","Age 20-24","Resident Population","Male","619,967"
"New York","July","2023","Age 20-24","Resident Population","Female","623,665"
"New York","July","2023","Age 25-29","Resident Population","Male","658,204"
"New York","July","2023","Age 25-29","Resident Population","Female","674,646"
"New York","July","2023","Age 25-44","Resident Population","Male","2,632,903"
"New York","July","2023","Age 25-44","Resident Population","Female","2,649,005"
"New York","July","2023","Age 30-34","Resident Population","Male","703,904"
"New York","July","2023","Age 30-34","Resident Population","Female","699,540"
"New York","July","2023","Age 35-39","Resident Population","Male","658,207"
"New York","July","2023","Age 35-39","Resident Population","Female","655,009"
"New York","July","2023","Age 40-44","Resident Population","Male","612,588"
